?,1/64,1/32,1/16,2/16,3/16,1/4-?
0.456195003,0.332681452,0.283955022,0.268216688,0.226926233,0.385946414,0.126895045
0.454417545,0.38077369,0.372612893,0.337224314,0.330109117,0.275259952,0.151014637
0.493113234,0.334122303,0.40103647,0.312952191,0.235041179,0.306647255,0.203723398
0.437826234,0.328803686,0.354359106,0.316375747,0.142481888,0.366180398,0.263726156
0.635995469,0.18327198,0.46219896,0.22078596,0.419872964,0.181447523,0.29157656
0.48903631,0.396156299,0.423756815,0.295869321,0.282749365,0.362872024,0.391523029
0.464666644,0.263433346,0.252909417,0.426887277,0.343027409,0.19251633,0.277714729
0.456978298,0.432152284,0.236786113,0.39856459,0.197909656,0.273909802,0.374858141
0.612219122,0.333666275,0.268878118,0.38954819,0.293299204,0.347676578,0.13279467
0.442255703,0.528526056,0.308622401,0.170837401,0.269938648,0.215174181,0.101079475
0.715148699,0.431828798,0.392259383,0.395209335,0.328554829,0.203861828,0.178057656
0.463218045,0.445557152,0.379189611,0.266193611,0.17967325,0.137881657,0.052057962
0.539211133,0.362256175,0.300946929,0.310792537,0.316623417,0.268634291,0.278655495
0.438908203,0.465474746,0.306035178,0.291000635,0.469375974,0.26461008,0.235102783
0.469428886,0.459024186,0.357472959,0.342063579,0.534933082,0.27596895,0.228831314
0.432076599,0.36914979,0.508131115,0.363954053,0.276127614,0.12605196,0.316563595
0.571699164,0.398593347,0.408667893,0.276468912,0.24360867,0.273432539,0.087648281
0.564597816,0.383081916,0.416907799,0.388667444,0.228282901,0.223138728,0.357459645
0.532249491,0.493590195,0.196398151,0.275928057,0.388864317,0.346499978,0.345796407
0.462267475,0.458592241,0.536329627,0.326030687,0.392971529,0.338028595,0.275167066
0.490395606,0.221519763,0.29473237,0.308945975,0.362016355,0.231489764,0.248848244
0.463475058,0.346346202,0.431631811,0.346695277,0.188959531,0.222041734,0.17356789
0.441196285,0.356347488,0.412936204,0.304114417,0.407121328,0.17247339,0.407999741
0.510091256,0.348198914,0.462939305,0.324923383,0.097375582,0.308798003,0.265340434
0.664305568,0.498979815,0.276554016,0.386208371,0.36474123,0.239970782,0.154880618
0.408234597,0.45846549,0.461307545,0.347754969,0.36855944,0.215025557,0.440025284
0.441109013,0.261966362,0.426897359,0.534319409,0.310915601,0.318015938,0.12471799
0.375037996,0.288583649,0.403360295,0.206032557,0.351778447,0.286873291,0.060785487
0.366881955,0.320128825,0.41692432,0.315058494,0.381277355,0.178747331,0.251828231
0.427923484,0.413815905,0.394153508,0.305978899,0.343687522,0.225696207,0.194848039
0.449627821,0.456597388,0.25556306,0.2304967,0.347385291,0.182747801,0.330583518
0.450946396,0.468102781,0.34012562,0.32228257,0.277466976,0.394165217,0.163353386
0.483306778,0.386024608,0.383663831,0.386701294,0.411076525,0.31985565,0.161633598
0.461694416,0.409533157,0.151133531,0.318344613,0.307622099,0.305683892,0.177199492
0.629347237,0.466075739,0.391841354,0.246245848,0.302066489,0.140185526,0.164564179
0.662095871,0.565938329,0.421015316,0.362706398,0.238763973,0.193326512,0.321006911
0.70307127,0.328034193,0.316193821,0.216358109,0.19726945,0.363306574,0.211700882
0.431817361,0.319569671,0.303589527,0.274441638,0.391438292,0.360685414,0.18565913
0.689956458,0.398580018,0.318726969,0.2891312,0.218243217,0.38927751,0.232770451
0.541747864,0.336275616,0.404926057,0.281619478,0.218421825,0.307302168,0.199712408
0.462198113,0.31204441,0.261317247,0.188738233,0.235728625,0.206007164,0.203595919
0.767367429,0.430096442,0.335773983,0.23365812,0.307582672,0.328512317,0.167533201
0.697908661,0.360219357,0.426823413,0.24849036,0.239019641,0.213248843,0.136957491
0.736526692,0.312105643,0.21512762,0.263797261,0.180145257,0.18519637,0.202659695
0.595960818,0.374290688,0.222313376,0.404866022,0.245364556,0.21758928,0.302391457
0.575246291,0.439310871,0.494290667,0.425155881,0.191627495,0.263053497,0.279322112
0.639577046,0.350588451,0.312525941,0.31557278,0.351997669,0.466783376,0.29680799
0.70285751,0.335672211,0.323768261,0.338636993,0.307242927,0.237155892,0.147263773
0.410929217,0.440687918,0.456666723,0.293768384,0.295533757,0.168527965,0.215616113
0.448003874,0.251555327,0.393722022,0.169064727,0.259677758,0.173379726,0.109203904
